file,src,duration_s,events,T0_med_s,est_bpm,bpm_out,has_breath,confidence,max_votes,mean_votes,peak_ratio,band_ratio,crop_start_idx,crop_end_idx,crop_len,out_csv,out_png
J4_fast4,RDI,57.785000,25,2.401000,26.578073,26.578073,True,0.900000,12.000000,0.256814,46.726415,0.640004,64,1715,1651,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J4_fast4_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J4_fast4_plot.png
J4_normal4,RDI,57.715000,17,4.001667,19.818332,19.818332,True,0.900000,12.000000,0.211037,56.862069,0.668126,66,1715,1649,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J4_normal4_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J4_normal4_plot.png
J5_fast5,RDI,58.170000,29,2.000833,29.813665,29.813665,True,0.900000,12.000000,0.327316,36.661765,0.641133,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J5_fast5_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J5_fast5_plot.png
J5_normal5,RDI,58.100000,16,4.001667,16.643551,16.643551,True,0.900000,12.000000,0.204819,58.588235,0.594542,55,1715,1660,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J5_normal5_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\J5_normal5_plot.png
JayFast1,RDI,56.455000,23,3.001250,26.578073,26.578073,True,0.746660,12.000000,0.305022,39.341463,0.318566,102,1715,1613,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JayFast1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JayFast1_plot.png
JayNormal1,RDI,57.995000,12,6.002500,12.793177,12.793177,True,0.900000,12.000000,0.144840,82.849999,0.781373,58,1715,1657,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JayNormal1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JayNormal1_plot.png
JaySlow1,RDI,58.205000,11,6.002500,11.741683,11.741683,True,0.900000,12.000000,0.137102,87.526315,0.647665,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JaySlow1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\JaySlow1_plot.png
L1_fast6,RDI,56.735000,24,2.401000,25.586354,25.586354,True,0.900000,12.000000,0.283775,42.286956,0.676444,94,1715,1621,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L1_fast6_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L1_fast6_plot.png
L1_normal6,RDI,58.100000,16,4.001667,16.643551,16.643551,True,0.900000,12.000000,0.204819,58.588235,0.594542,55,1715,1660,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L1_normal6_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L1_normal6_plot.png
L2_fast7,RDI,57.540000,27,2.000833,27.649770,27.649770,True,0.900000,12.000000,0.272506,44.035714,0.535157,71,1715,1644,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L2_fast7_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L2_fast7_plot.png
L2_normal7,RDI,57.855000,17,4.001667,17.764619,17.764619,True,0.900000,12.000000,0.200847,59.746988,0.703624,62,1715,1653,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L2_normal7_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L2_normal7_plot.png
L3_fast8,RDI,57.330000,28,2.000833,29.556650,29.556650,True,0.900000,12.000000,0.280830,42.730435,0.594855,77,1715,1638,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L3_fast8_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L3_fast8_plot.png
L3_normal8,RDI,57.820000,16,4.001667,17.316017,17.316017,True,0.900000,12.000000,0.164649,72.882352,0.713816,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L3_normal8_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L3_normal8_plot.png
L4_fast9,RDI,57.750000,27,2.000833,28.571429,28.571429,True,0.900000,12.000000,0.278788,43.043478,0.614042,65,1715,1650,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L4_fast9_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L4_fast9_plot.png
L4_normal9,RDI,57.085000,19,3.001250,21.563342,21.563342,True,0.900000,12.000000,0.245248,48.930000,0.667694,84,1715,1631,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L4_normal9_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L4_normal9_plot.png
L5_fast10,RDI,57.505000,33,1.715000,37.267081,37.267081,True,0.900000,12.000000,0.326233,36.783582,0.599603,72,1715,1643,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L5_fast10_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L5_fast10_plot.png
L5_normal10,RDI,57.750000,34,1.715000,43.956044,43.956044,True,0.900000,12.000000,0.370909,32.352941,0.625840,65,1715,1650,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L5_normal10_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\L5_normal10_plot.png
LiFast1,RDI,57.820000,20,3.001250,22.857143,22.857143,True,0.900000,12.000000,0.266344,45.054545,0.536463,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiFast1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiFast1_plot.png
LiNormal1,RDI,57.820000,14,4.001667,15.727392,15.727392,True,0.900000,12.000000,0.164649,72.882352,0.881679,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiNormal1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiNormal1_plot.png
LiSlow1,RDI,57.715000,15,4.001667,16.404648,16.404648,True,0.900000,12.000000,0.162523,73.835820,0.671130,66,1715,1649,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiSlow1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\LiSlow1_plot.png
P1_fast11,RDI,58.170000,23,2.401000,25.974026,25.974026,True,0.900000,12.000000,0.262335,45.743119,0.514511,53,1715,1662,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P1_fast11_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P1_fast11_plot.png
P1_normal11,RDI,58.100000,19,3.001250,22.556391,22.556391,True,0.900000,12.000000,0.219277,54.725274,0.674356,55,1715,1660,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P1_normal11_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P1_normal11_plot.png
P2_fast12,RDI,57.890000,30,1.715000,35.714286,35.714286,True,0.891875,12.000000,0.386941,31.012500,0.443036,61,1715,1654,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P2_fast12_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P2_fast12_plot.png
P2_normal12,RDI,57.960000,31,1.715000,36.866359,36.866359,True,0.900000,12.000000,0.367150,32.684210,0.794920,59,1715,1656,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P2_normal12_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P2_normal12_plot.png
P3_fast13,RDI,58.240000,34,1.715000,34.985423,34.985423,True,0.900000,12.000000,0.331731,36.173913,0.503363,51,1715,1664,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P3_fast13_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P3_fast13_plot.png
P3_normal13,RDI,57.540000,27,2.000833,30.341340,30.341340,True,0.900000,12.000000,0.240876,49.818182,0.700745,71,1715,1644,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P3_normal13_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P3_normal13_plot.png
P4_fast14,RDI,57.645000,30,1.715000,32.967033,32.967033,True,0.900000,12.000000,0.352155,34.075862,0.623518,68,1715,1647,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P4_fast14_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P4_fast14_plot.png
P4_normal14,RDI,57.400000,24,2.401000,27.210884,27.210884,True,0.900000,12.000000,0.256098,46.857143,0.732069,75,1715,1640,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P4_normal14_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P4_normal14_plot.png
P5_fast15,RDI,57.225000,30,2.000833,33.613445,33.613445,True,0.900000,12.000000,0.291131,41.218487,0.507505,80,1715,1635,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P5_fast15_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P5_fast15_plot.png
P5_normal15,RDI,57.925000,25,2.401000,26.172301,26.172301,True,0.900000,12.000000,0.244109,49.158416,0.859256,60,1715,1655,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P5_normal15_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\P5_normal15_plot.png
